,Game,reviews,release date,developer,genre,Price,Owners
111,Cities: Skylines, 91% ,2015-03-10,Colossal Order Ltd.,"Simulation,Strategy",29.99,"5,000,000 - 10,000,000"
112,Stellaris, 77% ,2016-05-09,Paradox Development Studio,"Simulation,Strategy",39.99,"2,000,000 - 5,000,000"
113,American Truck Simulator, 92% ,2016-02-02,SCS Software,"Indie,Simulation",19.99,"2,000,000 - 5,000,000"
114,Total War: WARHAMMER II, 85% ,2017-09-28,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Strategy",59.99,"2,000,000 - 5,000,000"
115,Hell Let Loose, 72% ,2019-06-06,Black Matter Pty Ltd,"Action,Indie,Simulation,Strategy,Early Access",29.99,"1,000,000 - 2,000,000"
116,Black Desert Online, 64% ,2017-05-24,Pearl Abyss,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",9.99,"5,000,000 - 10,000,000"
117,The Elder Scrolls V: Skyrim Special Edition, 83% ,2016-10-27,Bethesda Game Studios,RPG,39.99,"2,000,000 - 5,000,000"
118,Fallout 4, 70% ,2015-11-09,Bethesda Game Studios,RPG,29.99,"5,000,000 - 10,000,000"
119,Rust, 80% ,2018-02-08,Facepunch Studios,"Action,Adventure,Indie,Massively Multiplayer,RPG",34.99,"20,000,000 - 50,000,000"
120,Grand Theft Auto V, 70% ,2015-04-14,Rockstar North,"Action,Adventure",29.99,"20,000,000 - 50,000,000"
121,Warframe, 91% ,2013-03-25,Digital Extremes,"Action,Free to Play",19.99,"20,000,000 - 50,000,000"
122,MORDHAU, 73% ,2019-04-29,Triternion,"Action,Indie",29.99,"2,000,000 - 5,000,000"
123,Total War: THREE KINGDOMS, 83% ,2019-05-23,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Strategy",59.99,"2,000,000 - 5,000,000"
124,FINAL FANTASY XIV Online, 81% ,2014-02-18,Square Enix,"Massively Multiplayer,RPG",19.99,"2,000,000 - 5,000,000"
125,Borderlands 2, 96% ,2012-09-17,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","Action,RPG",19.99,"10,000,000 - 20,000,000"
126,Path of Exile, 91% ,2013-10-23,Grinding Gear Games,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",0.0,"10,000,000 - 20,000,000"
127,Dota 2, 85% ,2013-07-09,Valve,"Action,Free to Play,Strategy",0.0,"100,000,000 - 200,000,000"
128,Counter-Strike: Global Offensive, 86% ,2012-08-21,"Valve,Hidden Path Entertainment","Action,Free to Play",0.0,"50,000,000 - 100,000,000"
129,Plants vs. Zombies GOTY Edition, 96% ,2009-05-05,"PopCap Games, Inc.",Strategy,4.99,"2,000,000 - 5,000,000"
130,Production Line : Car factory simulation, 85% ,2019-03-07,Positech Games,"Indie,Simulation,Strategy",24.99,"100,000 - 200,000"
131,Mirror, 96% ,2018-04-19,KAGAMI WORKs,"Adventure,Indie,RPG",1.99,"2,000,000 - 5,000,000"
132,Totally Accurate Battlegrounds, 72% ,2018-06-05,Landfall,"Action,Indie",4.99,"1,000,000 - 2,000,000"
133,100% Orange Juice, 94% ,2013-09-10,Orange_Juice,"Indie,Strategy",6.99,"500,000 - 1,000,000"
134,Moonlighter, 77% ,2018-05-29,Digital Sun,"Action,Adventure,Indie",19.99,"500,000 - 1,000,000"
135,Battlerite, 83% ,2017-11-08,Stunlock Studios,"Action,Free to Play",0.0,"2,000,000 - 5,000,000"
136,Yakuza Kiwami, 92% ,2019-02-19,SEGA,"Action,Adventure,RPG",19.99,"200,000 - 500,000"
137,Firewatch, 85% ,2016-02-09,Campo Santo,"Adventure,Indie",19.99,"1,000,000 - 2,000,000"
138,Saints Row IV, 91% ,2013-08-19,Deep Silver Volition,"Action,Adventure",14.99,"2,000,000 - 5,000,000"
139,Lobotomy Corporation | Monster Management Simulation, 89% ,2018-04-09,Project Moon,"Indie,Simulation",24.99,"500,000 - 1,000,000"
140,911 Operator, 82% ,2017-02-24,Jutsu Games,"Casual,Indie,Simulation,Strategy",88.94,"500,000 - 1,000,000"
141,Geometry Dash, 94% ,2014-12-22,RobTop Games,"Action,Indie",3.99,"2,000,000 - 5,000,000"
142,Black Mesa, 93% ,2015-05-05,Crowbar Collective,"Action,Adventure,Indie,Early Access",19.99,"2,000,000 - 5,000,000"
143,Unturned, 90% ,2017-07-07,Smartly Dressed Games,"Action,Adventure,Casual,Free to Play,Indie",0.0,"20,000,000 - 50,000,000"
144,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4, 82% ,2016-02-04,CyberConnect2 Co. Ltd.,"Action,Adventure",29.99,"1,000,000 - 2,000,000"
145,Star Trek Timelines, 51% ,2016-01-14,Disruptor Beam Inc.,"Adventure,Free to Play,RPG,Strategy",0.0,"200,000 - 500,000"
146,Railway Empire, 79% ,2018-01-26,Gaming Minds Studios,"Simulation,Strategy",49.99,"500,000 - 1,000,000"
147,AdVenture Capitalist, 89% ,2015-03-30,Hyper Hippo Games,"Casual,Free to Play,Indie",0.0,"5,000,000 - 10,000,000"
148,Lethal League Blaze, 96% ,2018-10-24,Team Reptile,"Action,Indie,Sports",19.99,"200,000 - 500,000"
149,Getting Over It with Bennett Foddy, 79% ,2017-12-06,Bennett Foddy,Action,7.99,"2,000,000 - 5,000,000"
150,Saints Row: The Third, 95% ,2011-11-14,Volition,Action,9.99,"2,000,000 - 5,000,000"
151,Super Animal Royale, 96% ,2018-12-12,Pixile,"Action,Adventure,Casual,Indie,Massively Multiplayer,Early Access",12.99,"500,000 - 1,000,000"
152,Workers & Resources: Soviet Republic, 81% ,2019-03-15,3Division,"Indie,Simulation,Strategy,Early Access",24.99,"200,000 - 500,000"
153,FTL: Faster Than Light, 96% ,2012-09-14,Subset Games,"Indie,Simulation,Strategy",9.99,"1,000,000 - 2,000,000"
154,Total War: NAPOLEON – Definitive Edition, 88% ,2010-02-25,"CREATIVE ASSEMBLY,Feral Interactive (Mac)",Strategy,24.99,"1,000,000 - 2,000,000"
155,Green Hell, 83% ,2018-08-29,Creepy Jar,"Indie,Simulation,Early Access",19.99,"500,000 - 1,000,000"
156,Fallout Shelter, 85% ,2017-03-29,Bethesda Game Studios,"Free to Play,RPG,Simulation",0.0,"5,000,000 - 10,000,000"
157,Plague Inc: Evolved, 93% ,2016-02-18,Ndemic Creations,"Casual,Indie,Simulation,Strategy",14.99,"2,000,000 - 5,000,000"
158,Grand Theft Auto: San Andreas, 88% ,2005-06-06,Rockstar Games,Action,14.99,"5,000,000 - 10,000,000"
159,Dead Cells, 94% ,2018-08-06,Motion Twin,"Action,Indie",24.99,"2,000,000 - 5,000,000"
160,Dungeon Defenders II, 73% ,2017-06-20,Trendy Entertainment,"Action,Free to Play,Indie,RPG,Strategy",0.0,"2,000,000 - 5,000,000"
161,Among Us, 84% ,2018-11-16,Innersloth,Casual,4.99,"20,000,000 - 50,000,000"
162,Tales of Zestiria, 84% ,2015-10-19,BANDAI NAMCO Studio Inc.,RPG,49.99,"500,000 - 1,000,000"
163,Fallout 2: A Post Nuclear Role Playing Game, 93% ,1998-12-01,Black Isle Studios,RPG,9.99,"500,000 - 1,000,000"
164,Revelation Online, 49% ,2017-02-27,Netease Games,"Free to Play,Massively Multiplayer,RPG",0.0,"200,000 - 500,000"
165,Bloons TD 5, 91% ,2014-11-19,Ninja Kiwi,"Action,Strategy",9.99,"200,000 - 500,000"
166,SpeedRunners, 93% ,2016-04-19,DoubleDutch Games,"Action,Casual,Indie,Racing,Sports",0.0,"2,000,000 - 5,000,000"
167,Nova Drift, 99% ,2019-03-27,Chimeric,"Action,Indie,Early Access",14.99,"200,000 - 500,000"
168,Hand Simulator, 78% ,2017-07-18,HFM Games,Simulation,1.99,"1,000,000 - 2,000,000"
169,Poly Bridge, 88% ,2016-07-12,Dry Cactus,"Indie,Simulation",9.99,"500,000 - 1,000,000"
170,Counter-Strike, 96% ,2000-11-01,Valve,Action,9.99,"10,000,000 - 20,000,000"
171,Niche - a genetics survival game, 87% ,2016-09-15,Stray Fawn Studio,"Indie,Simulation,Strategy",17.99,"200,000 - 500,000"
172,Soundpad, 93% ,2016-11-09,Leppsoft,"Audio Production,Utilities",0.0,"1,000,000 - 2,000,000"
173,Tomb Raider, 95% ,2013-03-04,"Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)","Action,Adventure",19.99,"5,000,000 - 10,000,000"
174,Little Nightmares, 88% ,2017-04-27,Tarsier Studios,Adventure,19.99,"2,000,000 - 5,000,000"
175,The Legend of Heroes: Trails in the Sky, 91% ,2014-07-29,Nihon Falcom,RPG,19.99,"200,000 - 500,000"
176,圣女战旗 Banner of the Maid, 83% ,2019-05-27,Azure Flame Studio,"Indie,RPG,Strategy",16.99,"200,000 - 500,000"
177,VEGAS Pro 14 Edit Steam Edition, 77% ,2016-09-30,MAGIX Software GmbH,Video Production,598.0,"0 - 20,000"
178,The Legend of Heroes: Trails in the Sky SC, 97% ,2015-10-29,Nihon Falcom,RPG,29.99,"100,000 - 200,000"
179,Idling to Rule the Gods, 86% ,2016-05-27,Shugasu GmbH,"Casual,Indie",0.0,"200,000 - 500,000"
180,Batman: Arkham City - Game of the Year Edition, 94% ,2012-09-07,"Rocksteady Studios,Feral Interactive (Mac)","Action,Adventure",19.99,"2,000,000 - 5,000,000"
181,Batman: Arkham City - Game of the Year Edition, 94% ,2012-09-07,"Rocksteady Studios,Feral Interactive (Mac)","Action,Adventure",19.99,"2,000,000 - 5,000,000"
183,Car Mechanic Simulator 2015, 90% ,2015-04-23,Red Dot Games,"Racing,Simulation",88.94,"500,000 - 1,000,000"
184,Life is Feudal: Your Own, 64% ,2015-11-17,Bitbox Ltd.,"Action,Indie,RPG,Simulation",19.99,"200,000 - 500,000"
185,The Guild II Renaissance, 78% ,2010-07-28,Rune Forge,"Simulation,Strategy",9.99,"200,000 - 500,000"
186,METAL GEAR SURVIVE, 62% ,2018-02-21,Konami Digital Entertainment,"Action,Adventure,Strategy",29.99,"200,000 - 500,000"
187,OMSI 2: Steam Edition, 70% ,2013-12-11,MR-Software GbR,"Casual,Simulation",29.99,"500,000 - 1,000,000"
188,Tooth and Tail, 81% ,2017-09-12,Pocketwatch Games,"Action,Casual,Indie,Strategy",19.99,"200,000 - 500,000"
189,CarX Drift Racing Online, 88% ,2017-11-17,CarX Technologies,"Massively Multiplayer,Racing,Simulation,Sports",9.99,"500,000 - 1,000,000"
190,Orwell: Keeping an Eye On You, 92% ,2016-10-27,Osmotic Studios,"Adventure,Indie,Simulation",0.0,"1,000,000 - 2,000,000"
191,Injustice: Gods Among Us Ultimate Edition, 85% ,2013-11-12,"NetherRealm Studios,High Voltage Software",Action,19.99,"1,000,000 - 2,000,000"
192,Superflight, 96% ,2017-11-08,GrizzlyGames,"Action,Casual,Indie,Racing,Sports",2.99,"200,000 - 500,000"
193,GROUND BRANCH, 77% ,2018-08-14,BlackFoot Studios,"Action,Indie,Early Access",19.99,"200,000 - 500,000"
194,Metro Exodus, 88% ,2019-02-14,4A Games,Action,24.99,"1,000,000 - 2,000,000"
195,Discord Bot Maker, 81% ,2017-08-21,Robert Borghese,"Utilities,Web Publishing",9.99,"200,000 - 500,000"
196,Shakes and Fidget, 86% ,2016-02-24,Playa Games GmbH,"Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy",0.0,"1,000,000 - 2,000,000"
197,Hatred, 77% ,2015-06-01,Destructive Creations,"Action,Indie",5.99,"200,000 - 500,000"
198,天命奇御 Fate Seeker, 91% ,2018-08-07,甲山林娛樂股份有限公司,RPG,21.09,"500,000 - 1,000,000"
199,Regions Of Ruin, 86% ,2018-02-05,Vox Games,"Action,Adventure,Indie,RPG,Simulation,Strategy",11.99,"200,000 - 500,000"
200,Fury Unleashed, 86% ,2017-02-24,Awesome Games Studio,"Action,Adventure,Indie,RPG,Early Access",14.99,"50,000 - 100,000"
201,LoveBeat, 73% ,2016-01-13,"CRAZYDIAMOND CO., LTD.","Action,Casual,Free to Play,Massively Multiplayer",0.0,"200,000 - 500,000"
202,GUILTY GEAR XX ACCENT CORE PLUS R, 92% ,2015-05-26,Arc System Works,Action,14.99,"100,000 - 200,000"
203,Grimm, 90% ,2014-01-06,Spicyhorse Games,"Casual,Indie",3.99,"1,000,000 - 2,000,000"
204,Unfortunate Spacemen, 77% ,2016-05-06,Geoff 'Zag' Keene,"Action,Indie,Early Access",14.99,"200,000 - 500,000"
205,Headsnatchers, 79% ,2018-07-24,IguanaBee,"Action,Casual,Indie,Sports,Early Access",14.99,"200,000 - 500,000"
206,Wild West Saga: Idle Tycoon Clicker, 67% ,2018-05-30,Tamasenco,"Casual,Free to Play,Indie,Simulation",0.0,"100,000 - 200,000"
207,Business Tour - Board Game with Online Multiplayer, 63% ,2017-07-27,Creobit,"Casual,Free to Play,Indie,Massively Multiplayer,Strategy",0.0,"2,000,000 - 5,000,000"
208,Blender, 96% ,2015-07-03,Blender Foundation,"Animation & Modeling,Design & Illustration,Video Production",0.0,"2,000,000 - 5,000,000"
209,DOKA 2 KISHKI EDITION, 88% ,2018-11-05,Agafonoff,"Action,Adventure,Casual,Indie,RPG,Simulation",0.99,"100,000 - 200,000"
210,Shank 2, 81% ,2012-02-07,Klei Entertainment,"Action,Adventure,Indie",9.99,"200,000 - 500,000"
211,SCP: Secret Laboratory, 84% ,2017-12-29,Northwood Studios,"Action,Free to Play",0.0,"5,000,000 - 10,000,000"
212,VRChat, 88% ,2017-02-01,VRChat Inc.,"Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Early Access",0.0,"2,000,000 - 5,000,000"
213,Aim Lab, 81% ,2018-02-07,Statespace,"Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access",0.0,"2,000,000 - 5,000,000"
214,Alien Swarm: Reactive Drop, 93% ,2017-04-20,Reactive Drop Team,"Action,Free to Play",0.0,"2,000,000 - 5,000,000"
215,Fuse, 61% ,2013-11-06,Mixamo,"Animation & Modeling,Design & Illustration,Utilities,Video Production",0.0,"200,000 - 500,000"
216,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest, 77% ,2018-05-03,Veslo Games,"Action,Adventure,Indie,Simulation",453.42,"0 - 20,000"
217,The Madness of Little Emma, 78% ,2015-12-21,Bartosz Bojarowski,"Action,Indie",8.99,"20,000 - 50,000"
218,Dead6hot, 45% ,2016-02-01,Chuck Productions,"Action,Casual",0.99,"200,000 - 500,000"
219,Ninja Stealth 2, 53% ,2017-01-30,SC Jogos,"Action,Adventure,Indie,Strategy",11.92,"50,000 - 100,000"
222,Botology, 29% ,2015-06-24,Black Lime Studio,"Action,Indie",0.99,"50,000 - 100,000"
